https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume IOTA,Volume USDT,tradecount
1707868800000,2024-02-14,IOTAUSDT,0.2603,0.2771,0.2572,0.2713,21145973.0,5687601.2881,37866
1707782400000,2024-02-13,IOTAUSDT,0.2581,0.2666,0.2521,0.2602,26640407.0,6926444.3521,44182
1707696000000,2024-02-12,IOTAUSDT,0.252,0.2601,0.2453,0.2581,20435447.0,5169989.6861,27882
1707609600000,2024-02-11,IOTAUSDT,0.253,0.2554,0.25,0.2521,13141520.0,3328087.9687,17149
1707523200000,2024-02-10,IOTAUSDT,0.2533,0.27,0.2498,0.2528,30605543.0,7910189.8814,47552
1707436800000,2024-02-09,IOTAUSDT,0.2449,0.2559,0.244,0.2531,19402334.0,4860272.4066,27715
1707350400000,2024-02-08,IOTAUSDT,0.2501,0.2538,0.2425,0.2449,27471159.0,6801223.5756,31072
1707264000000,2024-02-07,IOTAUSDT,0.2525,0.253,0.2417,0.2499,16810512.0,4162256.5768,25006
1707177600000,2024-02-06,IOTAUSDT,0.2428,0.255,0.2404,0.2523,16855829.0,4198843.3326,23875
1707091200000,2024-02-05,IOTAUSDT,0.24,0.2465,0.2355,0.2427,9539953.0,2311302.7904,14658
1707004800000,2024-02-04,IOTAUSDT,0.248,0.248,0.239,0.24,8857734.0,2156017.7178,11370
1706918400000,2024-02-03,IOTAUSDT,0.2532,0.2536,0.2457,0.2481,8811446.0,2188967.2156,12661
1706832000000,2024-02-02,IOTAUSDT,0.2425,0.2545,0.2406,0.2532,13942413.0,3452336.3861,20317
1706745600000,2024-02-01,IOTAUSDT,0.2399,0.2501,0.2349,0.2427,28089470.0,6828460.7644,34294
1706659200000,2024-01-31,IOTAUSDT,0.2484,0.2552,0.2364,0.2397,25197159.0,6152964.585,33766
1706572800000,2024-01-30,IOTAUSDT,0.2579,0.2592,0.2465,0.2482,21929438.0,5565824.2865,27882
1706486400000,2024-01-29,IOTAUSDT,0.2415,0.2647,0.2391,0.258,35744492.0,9149132.212,46776
1706400000000,2024-01-28,IOTAUSDT,0.25,0.2646,0.2407,0.2414,37061571.0,9457086.7796,45011
1706313600000,2024-01-27,IOTAUSDT,0.2479,0.2549,0.2381,0.2501,30758188.0,7579937.7387,41994
1706227200000,2024-01-26,IOTAUSDT,0.2437,0.2639,0.2376,0.2477,75165285.0,18827427.0135,97359
1706140800000,2024-01-25,IOTAUSDT,0.2187,0.2529,0.216,0.2437,146207966.0,35181135.1225,181822
1706054400000,2024-01-24,IOTAUSDT,0.2079,0.2344,0.205,0.2188,69142821.0,15266165.9981,83135
1705968000000,2024-01-23,IOTAUSDT,0.2132,0.219,0.1964,0.2079,37195786.0,7573210.9176,37325
1705881600000,2024-01-22,IOTAUSDT,0.2256,0.227,0.21,0.2132,23184791.0,5029019.8962,28552
1705795200000,2024-01-21,IOTAUSDT,0.2284,0.2308,0.2251,0.2256,10550013.0,2404083.9888,9898
1705708800000,2024-01-20,IOTAUSDT,0.2288,0.2291,0.2238,0.2285,10274906.0,2331079.8922,10344
1705622400000,2024-01-19,IOTAUSDT,0.2314,0.2324,0.216,0.2288,15497528.0,3496291.7468,20418
1705536000000,2024-01-18,IOTAUSDT,0.2445,0.2458,0.2257,0.2313,11746626.0,2777836.8448,15540
1705449600000,2024-01-17,IOTAUSDT,0.2477,0.25,0.2397,0.2445,10934991.0,2676348.2224,13798
1705363200000,2024-01-16,IOTAUSDT,0.2426,0.2502,0.2404,0.2479,11150451.0,2743323.9984,13666
1705276800000,2024-01-15,IOTAUSDT,0.2388,0.2476,0.2383,0.2427,10609021.0,2588190.1426,11959
1705190400000,2024-01-14,IOTAUSDT,0.2492,0.2495,0.2382,0.2388,10455845.0,2565683.0964,12584
1705104000000,2024-01-13,IOTAUSDT,0.2462,0.252,0.2368,0.2494,11296224.0,2784605.8296,13294
1705017600000,2024-01-12,IOTAUSDT,0.2648,0.2691,0.2376,0.2463,29611610.0,7615078.6556,40837
1704931200000,2024-01-11,IOTAUSDT,0.2626,0.2698,0.2557,0.2649,31491002.0,8302733.5638,38817
1704844800000,2024-01-10,IOTAUSDT,0.2349,0.275,0.2277,0.2626,41276061.0,10209240.2596,54761
1704758400000,2024-01-09,IOTAUSDT,0.2507,0.2516,0.2274,0.235,28334857.0,6724707.8469,31524
1704672000000,2024-01-08,IOTAUSDT,0.2407,0.251,0.2187,0.2507,44674508.0,10527991.0383,47518
1704585600000,2024-01-07,IOTAUSDT,0.2477,0.285,0.2375,0.2408,82786719.0,21808445.6574,134828
1704499200000,2024-01-06,IOTAUSDT,0.2529,0.2529,0.2337,0.2475,14703016.0,3585721.2188,18835
1704412800000,2024-01-05,IOTAUSDT,0.2637,0.2642,0.2419,0.253,21876779.0,5513945.3205,28158
1704326400000,2024-01-04,IOTAUSDT,0.2665,0.2745,0.2587,0.2636,25072444.0,6634345.5824,28181
1704240000000,2024-01-03,IOTAUSDT,0.301,0.3059,0.2249,0.2665,61433115.0,16409311.4557,85856
1704153600000,2024-01-02,IOTAUSDT,0.3152,0.3152,0.2973,0.3007,25524593.0,7790648.2967,33147
1704067200000,2024-01-01,IOTAUSDT,0.3104,0.3158,0.2947,0.3154,25273651.0,7736100.6747,33464
1703980800000,2023-12-31,IOTAUSDT,0.3221,0.3277,0.3024,0.3102,40052176.0,12687595.9663,52110
