https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume QNT,Volume USDT,tradecount
1707868800000,2024-02-14,QNTUSDT,103.6,106.7,102.6,105.6,36451.574,3827807.0713,19079
1707782400000,2024-02-13,QNTUSDT,106.4,107.0,101.5,103.6,41793.316,4336658.2052,21698
1707696000000,2024-02-12,QNTUSDT,103.3,108.6,101.3,106.3,46508.93,4836998.6545,21884
1707609600000,2024-02-11,QNTUSDT,103.6,105.5,101.8,103.2,26299.285,2723678.0981,13215
1707523200000,2024-02-10,QNTUSDT,105.8,106.2,103.1,103.5,28664.414,2992845.551,13039
1707436800000,2024-02-09,QNTUSDT,104.3,107.2,104.0,105.7,44752.64,4720688.331,19483
1707350400000,2024-02-08,QNTUSDT,104.4,104.9,102.2,104.2,29006.37,3005902.7647,14398
1707264000000,2024-02-07,QNTUSDT,103.2,105.0,101.6,104.4,22581.326,2334041.6915,11876
1707177600000,2024-02-06,QNTUSDT,101.9,103.5,101.3,103.2,26299.808,2690732.4034,11812
1707091200000,2024-02-05,QNTUSDT,100.8,103.9,99.8,101.9,32304.542,3292273.3856,17314
1707004800000,2024-02-04,QNTUSDT,102.6,102.6,100.2,100.8,25539.309,2588102.4216,13559
1706918400000,2024-02-03,QNTUSDT,102.9,105.2,102.2,102.5,21378.284,2212599.9611,11975
1706832000000,2024-02-02,QNTUSDT,103.4,104.8,101.9,102.8,30121.408,3110444.2827,15882
1706745600000,2024-02-01,QNTUSDT,102.7,103.8,99.9,103.5,44958.917,4589800.4212,24222
1706659200000,2024-01-31,QNTUSDT,105.4,105.8,101.7,102.7,44953.465,4653360.2601,25045
1706572800000,2024-01-30,QNTUSDT,108.5,109.4,104.6,105.3,33717.28,3618492.5493,17964
1706486400000,2024-01-29,QNTUSDT,105.8,109.1,104.2,108.6,33343.402,3562769.4081,18569
1706400000000,2024-01-28,QNTUSDT,108.8,109.4,104.7,105.9,23541.401,2526470.7702,13941
1706313600000,2024-01-27,QNTUSDT,109.7,110.8,107.6,108.9,16331.931,1783768.8409,9991
1706227200000,2024-01-26,QNTUSDT,105.1,110.4,104.4,109.7,22507.263,2424276.771,13628
1706140800000,2024-01-25,QNTUSDT,106.1,108.0,102.7,105.2,28933.3,3043094.1046,17692
1706054400000,2024-01-24,QNTUSDT,104.9,109.2,103.5,106.1,28498.728,3027100.5996,20709
1705968000000,2024-01-23,QNTUSDT,106.6,108.2,100.3,104.9,47418.302,4901034.9625,30905
1705881600000,2024-01-22,QNTUSDT,112.8,113.6,106.0,106.5,39893.315,4359335.2423,32999
1705795200000,2024-01-21,QNTUSDT,115.0,116.1,112.5,112.8,16764.404,1920276.5123,11004
